nohup: ignoring input
=== Starting Curriculum ===
  Stage 1/3  |  torpedoes = 1  |  distance = (1500.0, 2400.0)  |  target survival = 90.0%
Ep 02220 | Stage 1 (1 torps) | Reward   +704.6 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 02240 | Stage 1 (1 torps) | Reward   +795.6 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 02260 | Stage 1 (1 torps) | Reward   +697.9 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 02280 | Stage 1 (1 torps) | Reward   +690.5 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 02300 | Stage 1 (1 torps) | Reward   +844.9 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 02320 | Stage 1 (1 torps) | Reward   +711.7 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02340 | Stage 1 (1 torps) | Reward   +721.2 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02360 | Stage 1 (1 torps) | Reward   +713.5 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 02380 | Stage 1 (1 torps) | Reward   +767.3 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 02400 | Stage 1 (1 torps) | Reward   +313.4 | Survival  66.0% | eps 0.10 | noise 0.05
Ep 02420 | Stage 1 (1 torps) | Reward   +692.4 | Survival  63.0% | eps 0.10 | noise 0.05
Ep 02440 | Stage 1 (1 torps) | Reward   +720.7 | Survival  65.0% | eps 0.10 | noise 0.05
Ep 02460 | Stage 1 (1 torps) | Reward   +727.4 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 02480 | Stage 1 (1 torps) | Reward   +821.7 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 02500 | Stage 1 (1 torps) | Reward   +355.4 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 02520 | Stage 1 (1 torps) | Reward   +271.9 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 02540 | Stage 1 (1 torps) | Reward   +701.7 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 02560 | Stage 1 (1 torps) | Reward   +693.8 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02580 | Stage 1 (1 torps) | Reward   +273.8 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02600 | Stage 1 (1 torps) | Reward   +662.1 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02620 | Stage 1 (1 torps) | Reward   +706.2 | Survival  75.0% | eps 0.10 | noise 0.05
Ep 02640 | Stage 1 (1 torps) | Reward   +313.9 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02660 | Stage 1 (1 torps) | Reward   +769.4 | Survival  77.0% | eps 0.10 | noise 0.05
Ep 02680 | Stage 1 (1 torps) | Reward   +748.4 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 02700 | Stage 1 (1 torps) | Reward   +285.9 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 02720 | Stage 1 (1 torps) | Reward   +784.8 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 02740 | Stage 1 (1 torps) | Reward   +396.1 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02760 | Stage 1 (1 torps) | Reward   +398.5 | Survival  73.0% | eps 0.10 | noise 0.05
Ep 02780 | Stage 1 (1 torps) | Reward   +648.3 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 02800 | Stage 1 (1 torps) | Reward   +677.9 | Survival  72.0% | eps 0.10 | noise 0.05
Ep 02820 | Stage 1 (1 torps) | Reward   +676.9 | Survival  72.0% | eps 0.10 | noise 0.05
Ep 02840 | Stage 1 (1 torps) | Reward   +257.4 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02860 | Stage 1 (1 torps) | Reward   +277.1 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 02880 | Stage 1 (1 torps) | Reward   +762.7 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 02900 | Stage 1 (1 torps) | Reward   +733.9 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 02920 | Stage 1 (1 torps) | Reward   +879.3 | Survival  80.0% | eps 0.10 | noise 0.05
Ep 02940 | Stage 1 (1 torps) | Reward   +250.3 | Survival  77.0% | eps 0.10 | noise 0.05
Ep 02960 | Stage 1 (1 torps) | Reward   +711.8 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 02980 | Stage 1 (1 torps) | Reward  +1129.8 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 03000 | Stage 1 (1 torps) | Reward   +675.9 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 03020 | Stage 1 (1 torps) | Reward   +697.9 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 03040 | Stage 1 (1 torps) | Reward   +758.4 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 03060 | Stage 1 (1 torps) | Reward   +954.6 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 03080 | Stage 1 (1 torps) | Reward   +674.2 | Survival  81.0% | eps 0.10 | noise 0.05
Ep 03100 | Stage 1 (1 torps) | Reward   +251.9 | Survival  81.0% | eps 0.10 | noise 0.05
Ep 03120 | Stage 1 (1 torps) | Reward   +775.1 | Survival  80.0% | eps 0.10 | noise 0.05
Ep 03140 | Stage 1 (1 torps) | Reward   +725.3 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 03160 | Stage 1 (1 torps) | Reward   +276.6 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 03180 | Stage 1 (1 torps) | Reward   +767.2 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 03200 | Stage 1 (1 torps) | Reward   +784.0 | Survival  82.0% | eps 0.10 | noise 0.05
Ep 03220 | Stage 1 (1 torps) | Reward   +755.2 | Survival  83.0% | eps 0.10 | noise 0.05
Ep 03240 | Stage 1 (1 torps) | Reward   +734.4 | Survival  86.0% | eps 0.10 | noise 0.05
Ep 03260 | Stage 1 (1 torps) | Reward   +746.2 | Survival  87.0% | eps 0.10 | noise 0.05

======================================================================
  >>> ADVANCING TO STAGE 2  (target reached)
      torpedoes = 2, distance = (1500.0, 2400.0), target = 85.0%
======================================================================

Ep 03280 | Stage 2 (2 torps) | Reward   +282.0 | Survival  35.7% | eps 0.34 | noise 0.96
Ep 03300 | Stage 2 (2 torps) | Reward   +279.1 | Survival  55.9% | eps 0.33 | noise 0.91
Ep 03320 | Stage 2 (2 torps) | Reward   +620.1 | Survival  51.9% | eps 0.31 | noise 0.86
Ep 03340 | Stage 2 (2 torps) | Reward   +757.2 | Survival  50.0% | eps 0.30 | noise 0.80
Ep 03360 | Stage 2 (2 torps) | Reward  +1042.9 | Survival  50.0% | eps 0.28 | noise 0.75
Ep 03380 | Stage 2 (2 torps) | Reward  +1581.4 | Survival  57.0% | eps 0.27 | noise 0.69
Ep 03400 | Stage 2 (2 torps) | Reward   +666.2 | Survival  56.0% | eps 0.26 | noise 0.64
Ep 03420 | Stage 2 (2 torps) | Reward   +516.8 | Survival  57.0% | eps 0.24 | noise 0.58
Ep 03440 | Stage 2 (2 torps) | Reward  +1297.6 | Survival  57.0% | eps 0.23 | noise 0.53
Ep 03460 | Stage 2 (2 torps) | Reward  +1141.8 | Survival  63.0% | eps 0.21 | noise 0.48
Ep 03480 | Stage 2 (2 torps) | Reward   +493.7 | Survival  65.0% | eps 0.20 | noise 0.42
Ep 03500 | Stage 2 (2 torps) | Reward   +970.1 | Survival  66.0% | eps 0.18 | noise 0.37
Ep 03520 | Stage 2 (2 torps) | Reward  +1712.7 | Survival  67.0% | eps 0.17 | noise 0.31
Ep 03540 | Stage 2 (2 torps) | Reward  +1215.4 | Survival  72.0% | eps 0.15 | noise 0.26
Ep 03560 | Stage 2 (2 torps) | Reward  +1578.6 | Survival  73.0% | eps 0.14 | noise 0.20
Ep 03580 | Stage 2 (2 torps) | Reward  +1534.9 | Survival  71.0% | eps 0.13 | noise 0.15
Ep 03600 | Stage 2 (2 torps) | Reward  +1334.0 | Survival  72.0% | eps 0.11 | noise 0.10
Ep 03620 | Stage 2 (2 torps) | Reward  +1355.0 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 03640 | Stage 2 (2 torps) | Reward  +1270.5 | Survival  80.0% | eps 0.10 | noise 0.05
Ep 03660 | Stage 2 (2 torps) | Reward   +766.7 | Survival  80.0% | eps 0.10 | noise 0.05
Ep 03680 | Stage 2 (2 torps) | Reward   +281.2 | Survival  77.0% | eps 0.10 | noise 0.05
Ep 03700 | Stage 2 (2 torps) | Reward  +1071.2 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 03720 | Stage 2 (2 torps) | Reward  +1295.0 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 03740 | Stage 2 (2 torps) | Reward  +1068.0 | Survival  77.0% | eps 0.10 | noise 0.05
Ep 03760 | Stage 2 (2 torps) | Reward  +1090.6 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 03780 | Stage 2 (2 torps) | Reward  +1115.7 | Survival  79.0% | eps 0.10 | noise 0.05
Ep 03800 | Stage 2 (2 torps) | Reward  +1524.3 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 03820 | Stage 2 (2 torps) | Reward   +919.9 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 03840 | Stage 2 (2 torps) | Reward   +782.2 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 03860 | Stage 2 (2 torps) | Reward   +841.4 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 03880 | Stage 2 (2 torps) | Reward  +1096.1 | Survival  64.0% | eps 0.10 | noise 0.05
Ep 03900 | Stage 2 (2 torps) | Reward   +883.9 | Survival  63.0% | eps 0.10 | noise 0.05
Ep 03920 | Stage 2 (2 torps) | Reward  +1278.4 | Survival  66.0% | eps 0.10 | noise 0.05
Ep 03940 | Stage 2 (2 torps) | Reward  +1444.3 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 03960 | Stage 2 (2 torps) | Reward  +1358.9 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 03980 | Stage 2 (2 torps) | Reward  +1208.6 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 04000 | Stage 2 (2 torps) | Reward   +760.2 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 04020 | Stage 2 (2 torps) | Reward  +1380.6 | Survival  79.0% | eps 0.10 | noise 0.05
Ep 04040 | Stage 2 (2 torps) | Reward  +1327.2 | Survival  81.0% | eps 0.10 | noise 0.05
Ep 04060 | Stage 2 (2 torps) | Reward  +1131.2 | Survival  77.0% | eps 0.10 | noise 0.05
Ep 04080 | Stage 2 (2 torps) | Reward   +278.4 | Survival  75.0% | eps 0.10 | noise 0.05
Ep 04100 | Stage 2 (2 torps) | Reward  +1062.2 | Survival  80.0% | eps 0.10 | noise 0.05
Ep 04120 | Stage 2 (2 torps) | Reward  +1033.1 | Survival  81.0% | eps 0.10 | noise 0.05
Ep 04140 | Stage 2 (2 torps) | Reward  +1401.1 | Survival  81.0% | eps 0.10 | noise 0.05
Ep 04160 | Stage 2 (2 torps) | Reward  +1097.1 | Survival  83.0% | eps 0.10 | noise 0.05

======================================================================
  >>> ADVANCING TO STAGE 3  (target reached)
      torpedoes = 3, distance = (1500.0, 2400.0), target = 75.0%
======================================================================

Ep 04180 | Stage 3 (3 torps) | Reward   +808.7 | Survival  55.6% | eps 0.34 | noise 0.98
